tenure,deposit,turnover,withdrawal,deposit_next
2281,127746.07,742257.53,108151.71,5423.62
5104,8486.94,11932.75,3998.74,227.85
937,11360.06,71261.12,9510.25,2035.13
129,1036.58,2936.77,0,0
6085,1341.88,7686.04,136.49,557.94
742,16866.29,116308.57,11501.89,0
2395,47685.98,448860.55,30405.41,474.82
49,160.94,2705.79,184.43,46.2
0,71.72,109.01,0,2607.75
27,971.05,2958.08,1098.91,0
1047,4179.92,12891.82,2062.5,484.42
3177,5089.73,37816.35,6877.1,1329.81
2120,22661,136244.96,15304.83,444.58
251,859,1548.25,523.47,0
2600,29366.3,181999.18,21696.01,633.18
2488,8577.14,15478.48,2459.34,2347.9
7142,23463.87,50556.45,13502.42,775.89
90,2835.78,12140.39,1862.76,554.44
4700,984.14,10254.91,760.84,940.58
75,1832.65,12354.81,1868.45,46.04
5413,36581.35,255599.91,28899.63,239.51
2468,1396.48,10937.96,1205.36,195.45
720,27770.36,258372.84,24420.27,805.14
6553,5938.09,37577.41,4413.04,0
1317,5839.09,22889.32,3390.89,2674.06
1648,20713.11,198663.58,17066.91,0
2953,6305.32,35202.74,1642.1,693.25
2923,1200.45,8130.78,223.88,0
5409,829.72,2272.18,0,0
46,519.19,3166.49,0,283.44
1056,2059.15,12625.47,987.43,1450.6
385,5648.07,25623.44,3811.73,44.51
338,7020.69,87231.4,9655.99,0
5301,9304.36,122196.17,116.7,16497.77
4683,2181.85,16843,987.85,141.56
2018,6296.78,30234.14,21285.71,503.68
2067,516.07,1028.22,544.14,70.63
3990,24065.32,94325.23,20977.03,1372.14
2729,74.6,571.54,74.6,0
192,927.26,2941.74,750.48,95.61
44,46.67,39.85,0,71.06
825,464.25,1253.96,0,47.85
309,346.87,1179.44,0,0
6540,85164.32,477325.94,61421.23,96.43
129,23.42,9.88,0,0
27,694.5,7094.96,2777.15,9645.03
399,1875.37,17389.68,2631.47,118.96
27,5133.77,24348.05,4343.67,4709.06
4016,6316.26,130042.4,1424.41,162.99
1994,537.16,8111.11,0,68.7
1921,29869.03,252520.02,11628.26,4769.42
148,1221.88,2933.62,521.74,900.19
3030,476.05,2069.63,0,115.81
10,695.98,4181.34,0,0
5,1172.12,1453.43,1406.54,2102.52
1718,700.11,35249.36,762.15,0
728,1904.17,1995.35,1180.97,325.07
4011,25193.35,97888.21,15761.31,113.33
17,413.96,776.22,0,1866.81
4535,414.43,4313.56,377.71,0
2174,876.79,3135.48,522.22,1176.87
1602,2078.62,5362.95,1308.97,400.44
2032,1686.93,5357.69,1280.04,0
4189,3969.88,21319.2,2870.4,190.17
3787,555726.28,6635318.45,318465.4,0
952,46.35,94.41,0,0
15,46.81,504.53,46.72,47.12
3734,507.42,4219.65,538.94,0
7074,165872.36,760183.3,130861.37,1658.04
628,5242.58,16775.41,4125.99,0
416,1650.35,2215.67,1418.75,0
3780,44.8,180.3,0,3298.12
4194,3513.76,19254.72,3048.86,118.9
183,2431.12,5705.74,7687.39,1666.46
621,6746.6,65797.04,0,1010.38
1575,445.49,1474.59,92.44,0
